,Book,Author,Genre,Year Of publication,Average rating,Number of ratings,BookCover Image
1407,The Lost Symbol ,Dan Brown,thriller,2009,3.69,460033,https://images.gr-assets.com/books/1534070883s/6411961.jpg
1408,Sharp Objects ,Gillian Flynn,thriller,2006,3.95,495374,https://images.gr-assets.com/books/1475695315s/18045891.jpg
1409,Inferno ,Dan Brown,thriller,2013,3.83,406739,https://images.gr-assets.com/books/1534070896s/17212231.jpg
1410,Deception Point ,Dan Brown,thriller,2001,3.69,536075,https://images.gr-assets.com/books/1524176259s/976.jpg
1411,Dark Places ,Gillian Flynn,thriller,2009,3.93,472311,https://images.gr-assets.com/books/1354988288s/5886881.jpg
1412,Digital Fortress ,Dan Brown,thriller,1998,3.63,503941,https://images.gr-assets.com/books/1360095966s/11125.jpg
1413,The Silence of the Lambs  ,Thomas   Harris,thriller,1988,4.17,400650,https://images.gr-assets.com/books/1390426249s/23807.jpg
1414,Before I Go to Sleep ,S.J. Watson,thriller,2011,3.89,247829,https://images.gr-assets.com/books/1358353512s/9736930.jpg
1415,Jurassic Park ,Michael Crichton,thriller,1990,4.0,719954,https://images.gr-assets.com/books/1529604411s/40604658.jpg
1416,The Bourne Identity ,Robert Ludlum,thriller,1980,4.0,363454,https://images.gr-assets.com/books/1335860740s/7869.jpg
1417,The Woman in the Window ,A.J. Finn,thriller,2018,3.96,203737,https://images.gr-assets.com/books/1528225499s/40389527.jpg
1418,Killing Floor ,Lee Child,thriller,1997,4.05,210730,https://images.gr-assets.com/books/1399313258s/78129.jpg
1419,Red Dragon ,Thomas   Harris,thriller,1981,4.03,233781,https://images.gr-assets.com/books/1390284698s/28877.jpg
1420,The Shining ,Stephen King,thriller,1977,4.2,943792,https://images.gr-assets.com/books/1353277730s/11588.jpg
1421,Dark Matter ,Blake Crouch,thriller,2016,4.1,159605,https://images.gr-assets.com/books/1472119680s/27833670.jpg
1422,The Woman in Cabin 10 ,Ruth Ware,thriller,2016,3.68,243603,https://images.gr-assets.com/books/1465878007s/28187230.jpg
1423,Mr. Mercedes ,Stephen King,thriller,2014,3.95,187926,https://images.gr-assets.com/books/1468705326s/18775247.jpg
1424,Behind Closed Doors ,B.A. Paris,thriller,2016,3.95,203041,https://images.gr-assets.com/books/1458854462s/29437949.jpg
1425,You ,Caroline Kepnes,thriller,2014,3.87,78501,https://images.gr-assets.com/books/1549463282s/36430011.jpg
1426,The Hunt for Red October ,Tom Clancy,thriller,1984,4.05,305463,https://images.gr-assets.com/books/1281995542s/19691.jpg
1427,Shutter Island ,Dennis Lehane,thriller,2003,4.09,138821,https://images.gr-assets.com/books/1329269081s/21686.jpg
1428,And Then There Were None ,Agatha Christie,thriller,1939,4.25,609131,https://images.gr-assets.com/books/1391120695s/16299.jpg
1429,Into the Water ,Paula Hawkins,thriller,2017,3.55,187960,https://images.gr-assets.com/books/1494055413s/33151805.jpg
1430,Origin ,Dan Brown,thriller,2017,3.85,178928,https://images.gr-assets.com/books/1507308545s/32283133.jpg
1431,Misery ,Stephen King,thriller,1987,4.14,413234,https://images.gr-assets.com/books/1270545451s/10614.jpg
1432,A Time to Kill ,John Grisham,thriller,1989,4.05,652187,https://images.gr-assets.com/books/1390195915s/32542.jpg
1433,In the Woods ,Tana French,thriller,2007,3.76,246982,https://images.gr-assets.com/books/1538771792s/2459785.jpg
1434,"In a Dark, Dark Wood ",Ruth Ware,thriller,2015,3.68,150457,https://images.gr-assets.com/books/1523543089s/27834600.jpg
1435,The Firm ,John Grisham,thriller,1991,4.0,517877,https://images.gr-assets.com/books/1418465200s/5358.jpg
1436,The Couple Next Door ,Shari Lapena,thriller,2016,3.77,207058,https://images.gr-assets.com/books/1471502242s/28815474.jpg
1437,Die Trying ,Lee Child,thriller,1998,4.02,87234,https://images.gr-assets.com/books/1377633008s/220969.jpg
1438,The Pelican Brief ,John Grisham,thriller,1992,3.98,327373,https://images.gr-assets.com/books/1389486877s/32499.jpg
1439,Along Came a Spider ,James Patterson,thriller,1993,4.1,358198,https://images.gr-assets.com/books/1388272560s/13145.jpg
1440,Pretty Girls ,Karin Slaughter,thriller,2015,3.99,126929,https://images.gr-assets.com/books/1432205734s/25574782.jpg
1441,Relic ,Douglas Preston,thriller,1995,4.02,83224,https://images.gr-assets.com/books/1389576748s/67035.jpg
1442,Assuming Names: A Con Artist's Masquerade ,Tanya Thompson,thriller,2014,3.51,13034,https://images.gr-assets.com/books/1394851829s/21449526.jpg
1443,It ,Stephen King,thriller,1986,4.22,640493,https://images.gr-assets.com/books/1334416842s/830502.jpg
1444,The Client ,John Grisham,thriller,1993,3.99,355067,https://images.gr-assets.com/books/1388632222s/5359.jpg
1445,Hannibal ,Thomas   Harris,thriller,1999,3.75,72445,https://images.gr-assets.com/books/1327356556s/32418.jpg
1446,Final Girls ,Riley Sager,thriller,2017,3.8,38802,https://images.gr-assets.com/books/1496658340s/32796253.jpg
1447,Patriot Games ,Tom Clancy,thriller,1987,4.13,168547,https://images.gr-assets.com/books/1328007145s/32682.jpg
1448,The Cuckoo's Calling ,Robert Galbraith,thriller,2013,3.85,410800,https://images.gr-assets.com/books/1540217136s/16160797.jpg
1449,I Am Pilgrim ,Terry Hayes,thriller,2013,4.25,94546,https://images.gr-assets.com/books/1403345411s/18144124.jpg
1450,The Da Vinci Code ,Dan Brown,thriller,2003,3.82,1697244,https://images.gr-assets.com/books/1546100524s/968.jpg
1451,The Girl on the Train ,Paula Hawkins,thriller,2015,3.9,1650360,https://images.gr-assets.com/books/1490903702s/22557272.jpg
1452,Gone Girl ,Gillian Flynn,thriller,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
1453,The Girl with the Dragon Tattoo ,Stieg Larsson,thriller,2005,4.13,2239168,https://images.gr-assets.com/books/1327868566s/2429135.jpg
1454,Angels & Demons  ,Dan Brown,thriller,2000,3.88,2343098,https://images.gr-assets.com/books/1527091700s/960.jpg
1455,The Girl Who Played with Fire ,Stieg Larsson,thriller,2006,4.23,733437,https://images.gr-assets.com/books/1351778881s/5060378.jpg
1456,The Girl Who Kicked the Hornet's Nest ,Stieg Larsson,thriller,2007,4.22,581762,https://images.gr-assets.com/books/1327708260s/6892870.jpg
1457,The Lost Symbol ,Dan Brown,thriller,2009,3.69,460033,https://images.gr-assets.com/books/1534070883s/6411961.jpg
1458,Sharp Objects ,Gillian Flynn,thriller,2006,3.95,495374,https://images.gr-assets.com/books/1475695315s/18045891.jpg
1459,Inferno ,Dan Brown,thriller,2013,3.83,406739,https://images.gr-assets.com/books/1534070896s/17212231.jpg
1460,Deception Point ,Dan Brown,thriller,2001,3.69,536075,https://images.gr-assets.com/books/1524176259s/976.jpg
1461,Dark Places ,Gillian Flynn,thriller,2009,3.93,472311,https://images.gr-assets.com/books/1354988288s/5886881.jpg
1462,Digital Fortress ,Dan Brown,thriller,1998,3.63,503941,https://images.gr-assets.com/books/1360095966s/11125.jpg
1463,The Silence of the Lambs  ,Thomas   Harris,thriller,1988,4.17,400650,https://images.gr-assets.com/books/1390426249s/23807.jpg
1464,Before I Go to Sleep ,S.J. Watson,thriller,2011,3.89,247829,https://images.gr-assets.com/books/1358353512s/9736930.jpg
1465,Jurassic Park ,Michael Crichton,thriller,1990,4.0,719954,https://images.gr-assets.com/books/1529604411s/40604658.jpg
1466,The Bourne Identity ,Robert Ludlum,thriller,1980,4.0,363454,https://images.gr-assets.com/books/1335860740s/7869.jpg
1467,The Woman in the Window ,A.J. Finn,thriller,2018,3.96,203737,https://images.gr-assets.com/books/1528225499s/40389527.jpg
1468,Killing Floor ,Lee Child,thriller,1997,4.05,210730,https://images.gr-assets.com/books/1399313258s/78129.jpg
1469,Red Dragon ,Thomas   Harris,thriller,1981,4.03,233781,https://images.gr-assets.com/books/1390284698s/28877.jpg
1470,The Shining ,Stephen King,thriller,1977,4.2,943792,https://images.gr-assets.com/books/1353277730s/11588.jpg
1471,Dark Matter ,Blake Crouch,thriller,2016,4.1,159605,https://images.gr-assets.com/books/1472119680s/27833670.jpg
1472,The Woman in Cabin 10 ,Ruth Ware,thriller,2016,3.68,243603,https://images.gr-assets.com/books/1465878007s/28187230.jpg
1473,Mr. Mercedes ,Stephen King,thriller,2014,3.95,187926,https://images.gr-assets.com/books/1468705326s/18775247.jpg
1474,Behind Closed Doors ,B.A. Paris,thriller,2016,3.95,203041,https://images.gr-assets.com/books/1458854462s/29437949.jpg
1475,You ,Caroline Kepnes,thriller,2014,3.87,78501,https://images.gr-assets.com/books/1549463282s/36430011.jpg
1476,The Hunt for Red October ,Tom Clancy,thriller,1984,4.05,305463,https://images.gr-assets.com/books/1281995542s/19691.jpg
1477,Shutter Island ,Dennis Lehane,thriller,2003,4.09,138821,https://images.gr-assets.com/books/1329269081s/21686.jpg
1478,And Then There Were None ,Agatha Christie,thriller,1939,4.25,609131,https://images.gr-assets.com/books/1391120695s/16299.jpg
1479,Into the Water ,Paula Hawkins,thriller,2017,3.55,187960,https://images.gr-assets.com/books/1494055413s/33151805.jpg
1480,Origin ,Dan Brown,thriller,2017,3.85,178928,https://images.gr-assets.com/books/1507308545s/32283133.jpg
1481,Misery ,Stephen King,thriller,1987,4.14,413234,https://images.gr-assets.com/books/1270545451s/10614.jpg
1482,A Time to Kill ,John Grisham,thriller,1989,4.05,652187,https://images.gr-assets.com/books/1390195915s/32542.jpg
1483,In the Woods ,Tana French,thriller,2007,3.76,246982,https://images.gr-assets.com/books/1538771792s/2459785.jpg
1484,"In a Dark, Dark Wood ",Ruth Ware,thriller,2015,3.68,150457,https://images.gr-assets.com/books/1523543089s/27834600.jpg
1485,The Firm ,John Grisham,thriller,1991,4.0,517877,https://images.gr-assets.com/books/1418465200s/5358.jpg
1486,The Couple Next Door ,Shari Lapena,thriller,2016,3.77,207058,https://images.gr-assets.com/books/1471502242s/28815474.jpg
1487,Die Trying ,Lee Child,thriller,1998,4.02,87234,https://images.gr-assets.com/books/1377633008s/220969.jpg
1488,The Pelican Brief ,John Grisham,thriller,1992,3.98,327373,https://images.gr-assets.com/books/1389486877s/32499.jpg
1489,Along Came a Spider ,James Patterson,thriller,1993,4.1,358198,https://images.gr-assets.com/books/1388272560s/13145.jpg
1490,Pretty Girls ,Karin Slaughter,thriller,2015,3.99,126929,https://images.gr-assets.com/books/1432205734s/25574782.jpg
1491,Relic ,Douglas Preston,thriller,1995,4.02,83224,https://images.gr-assets.com/books/1389576748s/67035.jpg
1492,Assuming Names: A Con Artist's Masquerade ,Tanya Thompson,thriller,2014,3.51,13034,https://images.gr-assets.com/books/1394851829s/21449526.jpg
1493,It ,Stephen King,thriller,1986,4.22,640493,https://images.gr-assets.com/books/1334416842s/830502.jpg
1494,The Client ,John Grisham,thriller,1993,3.99,355067,https://images.gr-assets.com/books/1388632222s/5359.jpg
1495,Hannibal ,Thomas   Harris,thriller,1999,3.75,72445,https://images.gr-assets.com/books/1327356556s/32418.jpg
1496,Final Girls ,Riley Sager,thriller,2017,3.8,38802,https://images.gr-assets.com/books/1496658340s/32796253.jpg
1497,Patriot Games ,Tom Clancy,thriller,1987,4.13,168547,https://images.gr-assets.com/books/1328007145s/32682.jpg
1498,The Cuckoo's Calling ,Robert Galbraith,thriller,2013,3.85,410800,https://images.gr-assets.com/books/1540217136s/16160797.jpg
1499,I Am Pilgrim ,Terry Hayes,thriller,2013,4.25,94546,https://images.gr-assets.com/books/1403345411s/18144124.jpg
1500,The Da Vinci Code ,Dan Brown,thriller,2003,3.82,1697244,https://images.gr-assets.com/books/1546100524s/968.jpg
1501,The Girl on the Train ,Paula Hawkins,thriller,2015,3.9,1650360,https://images.gr-assets.com/books/1490903702s/22557272.jpg
1502,Gone Girl ,Gillian Flynn,thriller,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
1503,The Girl with the Dragon Tattoo ,Stieg Larsson,thriller,2005,4.13,2239168,https://images.gr-assets.com/books/1327868566s/2429135.jpg
1504,Angels & Demons  ,Dan Brown,thriller,2000,3.88,2343098,https://images.gr-assets.com/books/1527091700s/960.jpg
1505,The Girl Who Played with Fire ,Stieg Larsson,thriller,2006,4.23,733437,https://images.gr-assets.com/books/1351778881s/5060378.jpg
1506,The Girl Who Kicked the Hornet's Nest ,Stieg Larsson,thriller,2007,4.22,581762,https://images.gr-assets.com/books/1327708260s/6892870.jpg
1507,The Lost Symbol ,Dan Brown,thriller,2009,3.69,460033,https://images.gr-assets.com/books/1534070883s/6411961.jpg
1508,Sharp Objects ,Gillian Flynn,thriller,2006,3.95,495374,https://images.gr-assets.com/books/1475695315s/18045891.jpg
1509,Inferno ,Dan Brown,thriller,2013,3.83,406739,https://images.gr-assets.com/books/1534070896s/17212231.jpg
1510,Deception Point ,Dan Brown,thriller,2001,3.69,536075,https://images.gr-assets.com/books/1524176259s/976.jpg
1511,Dark Places ,Gillian Flynn,thriller,2009,3.93,472311,https://images.gr-assets.com/books/1354988288s/5886881.jpg
1512,Digital Fortress ,Dan Brown,thriller,1998,3.63,503941,https://images.gr-assets.com/books/1360095966s/11125.jpg
1513,The Silence of the Lambs  ,Thomas   Harris,thriller,1988,4.17,400650,https://images.gr-assets.com/books/1390426249s/23807.jpg
1514,Before I Go to Sleep ,S.J. Watson,thriller,2011,3.89,247829,https://images.gr-assets.com/books/1358353512s/9736930.jpg
1515,Jurassic Park ,Michael Crichton,thriller,1990,4.0,719954,https://images.gr-assets.com/books/1529604411s/40604658.jpg
1516,The Bourne Identity ,Robert Ludlum,thriller,1980,4.0,363454,https://images.gr-assets.com/books/1335860740s/7869.jpg
1517,The Woman in the Window ,A.J. Finn,thriller,2018,3.96,203737,https://images.gr-assets.com/books/1528225499s/40389527.jpg
1518,Killing Floor ,Lee Child,thriller,1997,4.05,210730,https://images.gr-assets.com/books/1399313258s/78129.jpg
1519,Red Dragon ,Thomas   Harris,thriller,1981,4.03,233781,https://images.gr-assets.com/books/1390284698s/28877.jpg
1520,The Shining ,Stephen King,thriller,1977,4.2,943792,https://images.gr-assets.com/books/1353277730s/11588.jpg
1521,Dark Matter ,Blake Crouch,thriller,2016,4.1,159605,https://images.gr-assets.com/books/1472119680s/27833670.jpg
1522,The Woman in Cabin 10 ,Ruth Ware,thriller,2016,3.68,243603,https://images.gr-assets.com/books/1465878007s/28187230.jpg
1523,Mr. Mercedes ,Stephen King,thriller,2014,3.95,187926,https://images.gr-assets.com/books/1468705326s/18775247.jpg
1524,Behind Closed Doors ,B.A. Paris,thriller,2016,3.95,203041,https://images.gr-assets.com/books/1458854462s/29437949.jpg
1525,You ,Caroline Kepnes,thriller,2014,3.87,78501,https://images.gr-assets.com/books/1549463282s/36430011.jpg
1526,The Hunt for Red October ,Tom Clancy,thriller,1984,4.05,305463,https://images.gr-assets.com/books/1281995542s/19691.jpg
1527,Shutter Island ,Dennis Lehane,thriller,2003,4.09,138821,https://images.gr-assets.com/books/1329269081s/21686.jpg
1528,And Then There Were None ,Agatha Christie,thriller,1939,4.25,609131,https://images.gr-assets.com/books/1391120695s/16299.jpg
1529,Into the Water ,Paula Hawkins,thriller,2017,3.55,187960,https://images.gr-assets.com/books/1494055413s/33151805.jpg
1530,Origin ,Dan Brown,thriller,2017,3.85,178928,https://images.gr-assets.com/books/1507308545s/32283133.jpg
1531,Misery ,Stephen King,thriller,1987,4.14,413234,https://images.gr-assets.com/books/1270545451s/10614.jpg
1532,A Time to Kill ,John Grisham,thriller,1989,4.05,652187,https://images.gr-assets.com/books/1390195915s/32542.jpg
1533,In the Woods ,Tana French,thriller,2007,3.76,246982,https://images.gr-assets.com/books/1538771792s/2459785.jpg
1534,"In a Dark, Dark Wood ",Ruth Ware,thriller,2015,3.68,150457,https://images.gr-assets.com/books/1523543089s/27834600.jpg
1535,The Firm ,John Grisham,thriller,1991,4.0,517877,https://images.gr-assets.com/books/1418465200s/5358.jpg
1536,The Couple Next Door ,Shari Lapena,thriller,2016,3.77,207058,https://images.gr-assets.com/books/1471502242s/28815474.jpg
1537,Die Trying ,Lee Child,thriller,1998,4.02,87234,https://images.gr-assets.com/books/1377633008s/220969.jpg
1538,The Pelican Brief ,John Grisham,thriller,1992,3.98,327373,https://images.gr-assets.com/books/1389486877s/32499.jpg
1539,Along Came a Spider ,James Patterson,thriller,1993,4.1,358198,https://images.gr-assets.com/books/1388272560s/13145.jpg
1540,Pretty Girls ,Karin Slaughter,thriller,2015,3.99,126929,https://images.gr-assets.com/books/1432205734s/25574782.jpg
1541,Relic ,Douglas Preston,thriller,1995,4.02,83224,https://images.gr-assets.com/books/1389576748s/67035.jpg
1542,Assuming Names: A Con Artist's Masquerade ,Tanya Thompson,thriller,2014,3.51,13034,https://images.gr-assets.com/books/1394851829s/21449526.jpg
1543,It ,Stephen King,thriller,1986,4.22,640493,https://images.gr-assets.com/books/1334416842s/830502.jpg
1544,The Client ,John Grisham,thriller,1993,3.99,355067,https://images.gr-assets.com/books/1388632222s/5359.jpg
1545,Hannibal ,Thomas   Harris,thriller,1999,3.75,72445,https://images.gr-assets.com/books/1327356556s/32418.jpg
1546,Final Girls ,Riley Sager,thriller,2017,3.8,38802,https://images.gr-assets.com/books/1496658340s/32796253.jpg
1547,Patriot Games ,Tom Clancy,thriller,1987,4.13,168547,https://images.gr-assets.com/books/1328007145s/32682.jpg
1548,The Cuckoo's Calling ,Robert Galbraith,thriller,2013,3.85,410800,https://images.gr-assets.com/books/1540217136s/16160797.jpg
1549,I Am Pilgrim ,Terry Hayes,thriller,2013,4.25,94546,https://images.gr-assets.com/books/1403345411s/18144124.jpg
1550,The Da Vinci Code ,Dan Brown,thriller,2003,3.82,1697244,https://images.gr-assets.com/books/1546100524s/968.jpg
1551,The Girl on the Train ,Paula Hawkins,thriller,2015,3.9,1650360,https://images.gr-assets.com/books/1490903702s/22557272.jpg
1552,Gone Girl ,Gillian Flynn,thriller,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
1553,The Girl with the Dragon Tattoo ,Stieg Larsson,thriller,2005,4.13,2239168,https://images.gr-assets.com/books/1327868566s/2429135.jpg
1554,Angels & Demons  ,Dan Brown,thriller,2000,3.88,2343098,https://images.gr-assets.com/books/1527091700s/960.jpg
1555,The Girl Who Played with Fire ,Stieg Larsson,thriller,2006,4.23,733437,https://images.gr-assets.com/books/1351778881s/5060378.jpg
1556,The Girl Who Kicked the Hornet's Nest ,Stieg Larsson,thriller,2007,4.22,581762,https://images.gr-assets.com/books/1327708260s/6892870.jpg
1557,The Lost Symbol ,Dan Brown,thriller,2009,3.69,460033,https://images.gr-assets.com/books/1534070883s/6411961.jpg
